,Dip,BI,Kurtosis,DropOutRate,MeanNZ,DenPeak,Amplitude,gaussian_prob1,gaussian_prob2,gaussian_mean1,gaussian_mean2,gaussian_variance,mean,variance,unimodal_margin_quantile,unimodal_low_quantile,unimodal_high_quantile,IQR,q50,bim_thresh_down,bim_thresh_up,Category,dor_threshold
Vps35,0.0,2.2427967836375995,-1.146126787057467,0.02355072463768116,6.243696730308125,8.414872037833327,10.7784305029,0.3537440084939541,0.6462559915060441,2.4695889236479633,8.08201537990554,1.4315784506658515,6.096653147891448,8.637830856003067,0.25,3.1345415913625,8.530446539425,5.3959049480625,7.21474585962,4.36999318819,5.87496085353,Bimodal,0.95
Slc18a1,0.3474379138537427,2.038616922332344,2.080354468937629,0.7071256038647343,2.133169319960468,0.0007119006882603252,9.70066605605,0.9536088123689394,0.04639118763106052,0.30978503788251505,7.09912703662674,0.49067040991340655,2.133169319960468,5.431580525567806,0.25,0.741746845222,2.0836981369,1.3419512916779999,1.17102647543,3.70169922679,4.20432690139,Unimodal,
Nek1,0.0,2.2922379770405317,-0.19632628195526092,0.30434782608695654,3.3395805510260956,0.2188935907035514,10.1531838155,0.7684240351477516,0.23157596485225324,0.9618001553990331,6.840589501040148,1.1704444658075086,2.323186470279023,7.32479831807323,0.25,0.0,3.5278529497825,3.5278529497825,1.24489550473,3.53245155367,4.7304121416,Bimodal,0.95
Fam107b,0.5536275619352748,1.6648483088648363,0.23133924826656482,0.0024154589371980675,7.776740530016468,9.288601983229661,12.5824086417,0.199626008408671,0.8003739915913288,3.415111148963039,8.841130771369006,1.6971626753310662,7.757956132600969,6.405090029697569,0.25,6.6689888536575,9.57363301637,2.9046441627124997,8.582377601265,4.76235974316,6.6194803658,Unimodal,0.95
Pld3,0.0,2.524827807952671,-0.7135141682661379,0.2524154589371981,3.7196613164503813,0.4399524340248915,10.2279302244,0.7283267762962666,0.2716732237037323,1.0685521870408163,7.371010293821394,1.2329047290124557,2.780761298167616,9.097864761398233,0.25,0.0,5.3851429302125,5.3851429302125,1.4762447493400002,3.8352787597,5.06654554198,Bimodal,0.95
Rab11fip4,0.8841751144911019,1.3556885631814697,8.109414793618516,0.7723429951690821,1.536834502768411,0.012598954637629944,9.56253687283,0.9813449905762959,0.018655009423704058,0.24169347897663754,6.04054666566953,0.33495120555035,1.5368345027684112,2.3574699192148474,0.25,0.75950209334,1.57335930534,0.8138572119999999,1.04525297529,3.16050715351,3.59656658248,Unimodal,
Atp1b2,0.0,2.6305597656773454,-0.47729155403907697,0.15942028985507245,3.9826518121698586,1.6553551304207224,10.9841438005,0.7632313189779043,0.2367686810220939,1.6227886855268043,8.908159423365847,1.3860771544892558,3.34773630588191,10.984148719208456,0.25,1.039249461205,4.177010145605,3.1377606844,2.083268177915,4.88319282394,6.10373126009,Bimodal,0.95
Ankrd6,0.9946996620168077,2.0005931800414256,1.838773147369202,0.7759661835748792,2.2058938670817816,0.016668032810667754,9.84440852594,0.9571482984678659,0.0428517015321339,0.22664447079156347,6.470278709653792,0.3994888313360184,2.2058938670817816,5.158123873851976,0.25,0.835908006935,2.194197658435,1.3582896514999998,1.20922157755,3.33266371269,3.78256314878,Unimodal,
Car8,0.7385092926509963,1.603547580607263,10.7126813761995,0.9293478260869565,1.3739369269617865,0.007309056420027438,8.59193270443,0.9951690821256038,0.004830917874396135,0.06456440371826394,6.79356039085375,0.08465709591475215,1.3739369269617863,2.5467278464194982,0.25,0.645213023647,1.3269577103,0.6817446866530001,0.907304538702,2.68583681847,4.63627437977,Unimodal,
Wdr36,0.0,1.9785808056317027,-1.4019232660450571,0.06099033816425121,5.11553935664422,7.969787901995954,10.2250174419,0.4951060597763914,0.5048939402236085,2.1477820185615877,7.407815168597377,1.7667202188240596,4.803540881389953,8.68829129102322,0.25,2.0802036413475005,7.6514958979325,5.571292256584999,4.873954488595,3.78224777457,5.76225224026,Bimodal,0.95
