,Dip,BI,Kurtosis,DropOutRate,MeanNZ,DenPeak,Amplitude,gaussian_prob1,gaussian_prob2,gaussian_mean1,gaussian_mean2,gaussian_variance,mean,variance,unimodal_margin_quantile,unimodal_low_quantile,unimodal_high_quantile,IQR,q50,bim_thresh_down,bim_thresh_up,Category
Erlin2,0.0,2.2115578084124468,-1.3794996684303817,0.25120772946859904,3.9986057295618056,0.31163072599142927,9.93852936619,0.6650119442515341,0.33498805574847135,1.0840018542868988,6.786065483522013,1.4809019144184883,3.9986057295618056,7.640367767182304,0.25,1.3801420387025,6.7026075792075,5.322465540505,3.1846244182,3.32879371404,4.87724952806,Bimodal
Fuca2,0.0,2.5837957473115787,-1.6270336857485577,0.06340579710144928,4.767937729818442,1.7370632696255925,10.2812841396,0.5489054131610749,0.45109458683892534,1.8454953420835711,7.653872502639559,1.2512911967525984,4.767937729818442,8.819415311179299,0.25,1.926446132935,7.72716460869,5.800718475755,4.12189431632,4.15133946291,5.45820079745,Bimodal
Usp48,0.0,1.9265297021449124,-1.2589689576564398,0.03321256038647343,5.484953067116337,7.583641970978094,10.7681775854,0.39872125188657853,0.601278748113421,2.3084939798000006,7.2883635689925015,1.601879190989667,5.4849530671163365,6.811620621700601,0.25,2.90416556153,7.70202878447,4.79786322294,6.12242683022,3.71982008734,5.61922600722,Bimodal
Zfp975,0.06445117776610743,2.0790117852753722,0.10173110976776245,0.6111111111111112,2.7948293545980434,0.0032182881581964695,9.72082297977,0.9061956623905699,0.09380433760944334,0.46874798551880076,7.0583163634596575,0.853974564422921,2.7948293545980434,6.924721059337536,0.25,0.95011721661125,3.768775062095,2.81865784548375,1.5262289287150002,3.66293595941,4.44484578295,Unimodal
BE692007,8.660399483684245e-05,2.598164806861183,-0.6369179338607851,0.7361111111111112,2.880352823096398,-0.008494488741892986,9.56929536015,0.9222370682290055,0.07776293177099432,0.24848649591401287,6.827541561475467,0.4598422284555817,2.880352823096398,7.415515475692625,0.25,0.870831611361,5.27185941603,4.401027804669,1.40069734674,3.49332219861,3.98767613372,Bimodal
Exd2,0.0,2.366946685036951,-1.3506872917328976,0.3665458937198068,3.8094047549183796,0.16662050608701295,10.4435152478,0.7321324075383482,0.2678675924616531,0.797141815213749,6.829753877099973,1.2739243839156227,3.8094047549183796,7.966442068117683,0.25,1.29908703711,6.62336329311,5.324276255999999,2.6847342222,3.39607780436,4.66046922369,Bimodal
Ahnak,0.9961481621433281,1.6361115974107792,2.1861255238727972,0.3810386473429952,2.247840907961756,0.027379768934472692,10.1470559988,0.9013431050705362,0.09865689492945055,0.8428694854161324,6.402107528797069,1.026649685966421,2.247840907961756,4.177449600109156,0.25,0.953211999727,2.52717088194,1.5739588822130002,1.46098503782,3.4709598731,4.58642689793,Unimodal
Hars,0.0,2.1573221798474584,-1.3698304811546935,0.03743961352657005,5.888999056054367,8.073832555633686,10.9302879248,0.423866757571387,0.5761332424286129,2.392180795336158,8.07894935982696,1.6968887993411077,5.888999056054366,8.67447757488798,0.25,2.8870376993724998,8.307009158045,5.4199714586725,6.89606548337,4.25253351187,6.06507305537,Bimodal
E030030I06Rik,0.0,2.509987481456381,-0.7538368782048601,0.7409420289855072,2.5559599643172777,-0.007896751242663314,10.1758585962,0.9050285817886545,0.09497141821134536,0.20433664368022963,5.024788599565521,0.3170207031207751,2.5559599643172772,4.102417858679208,0.25,0.851772500999,4.56850973545,3.716737234451,1.59043159415,2.51049666259,3.09966527509,Bimodal
Tubgcp2,0.0,2.389444843972888,-1.525603865959166,0.22644927536231885,4.294616957544859,0.3468600695118116,10.5348715599,0.6306704416154205,0.3693295583845796,1.1396435532889972,7.048893047986975,1.4245810957500848,4.294616957544859,8.186024369877297,0.25,1.55893277576,7.13937793325,5.58044515749,3.63269799893,3.49332219861,4.93325183366,Bimodal
